Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
02100G120002,TOOL KIT,FORT 250  ADVENTURE ABS,39930,4392,44322,MEDIUM,OTHER,1
02100L790001,TOOL KIT,AX 180  (VIENTO) ABS,45630,5019,50649,MEDIUM,OTHER,1
02100N220003,VEHICLE TOOLS,SRV 250 AMT,74150,8156,82306,MEDIUM,OTHER,1
02100N510000,ONBOARD TOOLS,FORD 250,102670,11293,113963,MEDIUM,OTHER,1
02100P410100,TOOL KIT,SRK 800 RR,74150,8156,82306,MEDIUM,OTHER,1
02100TA70000,ONBOARD TOOLS,SRK 150 E (CITO),39930,4392,44322,MEDIUM,OTHER,1
02102G010100,"SOCKET,SPARK PLUG",FORD 250,5710,628,6338,FAST,ELECTRICAL,1
02102N030100,"SOCKET,SPARK PLUG",AX 180  (VIENTO) ABS,11410,1255,12665,FAST,ELECTRICAL,1
02103J000100,DRIVER SCREW,FORD 250,5710,628,6338,FAST,FASTENER,1
02103P250000,DOUBLE ENDED SCREWDRIVER,SRV 250 AMT,5710,628,6338,FAST,FASTENER,1
02106J000100,"HANDLE,SCREW DRIVER",FORD 250,5710,628,6338,FAST,FASTENER,1
02106P250000,HANDLE AS,SRV 250 AMT,5710,628,6338,MEDIUM,OTHER,1
02110J000000,TOOL BAG,AX 180  (VIENTO) ABS,5710,628,6338,MEDIUM,OTHER,1
02110P250000,TOOL  BAG,FORD 250,17120,1883,19003,MEDIUM,OTHER,1
02120J690000,ON BOARD TOOL STRAP,SRV 250 AMT,17120,1883,19003,MEDIUM,OTHER,1
02401KAE0000,INSTRUCTIONS,SRK 150 E (CITO),17120,1883,19003,MEDIUM,OTHER,1
02401M790000,INSTRUCTIONS,AX 180  (VIENTO) ABS,17120,1883,19003,MEDIUM,OTHER,1
02401N590001,INSTRUCTIONS,FORD 250,39930,4392,44322,MEDIUM,OTHER,1
02401N890001,INSTRUCTIONS,SRV 250 AMT,22820,2510,25330,MEDIUM,OTHER,1
02401N930000,INSTRUCTIONS,SRV 250 AL (LIBERO),22820,2510,25330,MEDIUM,OTHER,1
02401NT50000,INSTRUCTIONS,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,OTHER,1
02401PC20003,INSTRUCTIONS,SRV 600 V,22820,2510,25330,MEDIUM,OTHER,1
02401PCD0001,INSTRUCTIONS,SRK 800 RR,22820,2510,25330,MEDIUM,OTHER,1
03310N510000,HELMET HOOK ASSEMBLY,FORD 250,39930,4392,44322,MEDIUM,OTHER,1
05501L79FB01,FRONT MUDGUARD DECAL,SRV 250 AMT,5710,628,6338,MEDIUM,BODY,1
05501L79ND01,FRONT FENDER DECAL,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05501N510000,USB LABEL,FORD 250,51340,5647,56987,MEDIUM,OTHER,1
05501P410001,SHROUD HARD MARK,FORT 250  ADVENTURE ABS,62750,6902,69652,MEDIUM,OTHER,1
05501PC20000,SHOCK ABSORBER LOWER SEAT CRYSTAL SOFT LABEL,SRV 600 V,11410,1255,12665,SLOW,BODY,1
05501PCZBL02,LEFT FRONT SHOCK ABSORBER GUARD STICKER,SRV 250 AL (LIBERO),45630,5019,50649,SLOW,BODY,1
05501PCZJE02,LEFT FRONT SHOCK ABSORBER GUARD STICKER,SRV 250 AL (LIBERO),45630,5019,50649,SLOW,BODY,1
