Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
02100N220003,VEHICLE TOOLS,SRV 250 AMT,74150,8156,82306,MEDIUM,OTHER,1
02100N510000,ONBOARD TOOLS,FORD 250,102670,11293,113963,MEDIUM,OTHER,1
02100P410100,TOOL KIT,SRK 800 RR,74150,8156,82306,MEDIUM,OTHER,1
02102G010100,"SOCKET,SPARK PLUG",FORD 250,5710,628,6338,FAST,ELECTRICAL,1
02103J000100,DRIVER SCREW,FORD 250,5710,628,6338,FAST,FASTENER,1
02103P250000,DOUBLE ENDED SCREWDRIVER,SRV 250 AMT,5710,628,6338,FAST,FASTENER,1
02106J000100,"HANDLE,SCREW DRIVER",FORD 250,5710,628,6338,FAST,FASTENER,1
02106P250000,HANDLE AS,SRV 250 AMT,5710,628,6338,MEDIUM,OTHER,1
02110P250000,TOOL  BAG,FORD 250,17120,1883,19003,MEDIUM,OTHER,1
02120J690000,ON BOARD TOOL STRAP,SRV 250 AMT,17120,1883,19003,MEDIUM,OTHER,1
02401N590001,INSTRUCTIONS,FORD 250,39930,4392,44322,MEDIUM,OTHER,1
02401N890001,INSTRUCTIONS,SRV 250 AMT,22820,2510,25330,MEDIUM,OTHER,1
02401PC20003,INSTRUCTIONS,SRV 600 V,22820,2510,25330,MEDIUM,OTHER,1
02401PCD0001,INSTRUCTIONS,SRK 800 RR,22820,2510,25330,MEDIUM,OTHER,1
03310N510000,HELMET HOOK ASSEMBLY,FORD 250,39930,4392,44322,MEDIUM,OTHER,1
05501L79FB01,FRONT MUDGUARD DECAL,SRV 250 AMT,5710,628,6338,MEDIUM,BODY,1
05501L79ND01,FRONT FENDER DECAL,SRK 800 RR,5710,628,6338,SLOW,BODY,1
05501N510000,USB LABEL,FORD 250,51340,5647,56987,MEDIUM,OTHER,1
05501PC20000,SHOCK ABSORBER LOWER SEAT CRYSTAL SOFT LABEL,SRV 600 V,11410,1255,12665,SLOW,BODY,1
05502N510000,"GUARD BOARD HARD LABEL,MARK FORT250",FORD 250,68450,7529,75979,MEDIUM,BODY,1
05503N490002,ECU LABEL STICKER,SRV 250 AMT,5710,628,6338,MEDIUM,ELECTRICAL,1
05503V040002,ECU LABEL STICKER,SRV 250 AMT,5710,628,6338,MEDIUM,ELECTRICAL,1
05511N59NJ00,LEFT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05511N59RG00,LEFT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05511N59VM00,LEFT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05511N89X901,LEFT PROTECTIVE PANEL DECAL,SRV 250 AMT,11410,1255,12665,MEDIUM,BODY,1
05511PC20001,3D HARD LABEL FOR PROTECTIVE BOARD,SRV 600 V,34230,3765,37995,MEDIUM,OTHER,1
05512N59NJ00,RIGHT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05512N59RG00,RIGHT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05512N59VM00,RIGHT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05512N89X901,RIGHT PROTECTIVE PLATE DECAL,SRV 250 AMT,11410,1255,12665,MEDIUM,BODY,1
05513N59NJ00,LEFT AND RIGHT DARKROAD STICKER,FORD 250,5710,628,6338,MEDIUM,BODY,1
05513N59RG00,LEFT AND RIGHT DARKROAD STICKER,FORD 250,5710,628,6338,MEDIUM,BODY,1
05513N59VM00,LEFT AND RIGHT DARKROAD STICKER,FORD 250,5710,628,6338,MEDIUM,BODY,1
05513PC20001,3D HARD LABEL ON THE RIGHT FENDER,SRV 600 V,34230,3765,37995,SLOW,BODY,1
05521N59NJ00,LEFT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05521N59RG00,LEFT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05521N59VM00,LEFT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05522N59NJ00,RIGHT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05522N59RG00,RIGHT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05522N59VM00,RIGHT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
